"ID","Days.x","Soil_type.x","Soil_moisture.x","Rep","Prop_less_than_53_um","Prop_250_53_um","Prop_2000_250_um","Prop_greater_than_2mm","Mean_weight_diameter","Extractable_organic_C","Microbial_biomass_C","Total_aggregate_associated_C"
"29-Clayey-Transient-2",29,"Clayey","Transient",2,0.05,0.11,0.36,0.49,2.87,70.302,104.955,-9999
"29-Clayey-Transient-3",29,"Clayey","Transient",3,0.05,0.1,0.34,0.52,2.97,66.16,126.887,-9999
"29-Loamy-Transient-1",29,"Loamy","Transient",1,0.21,0.16,0.2,0.44,2.43,89.842,127.755,-9999
"29-Loamy-Transient-2",29,"Loamy","Transient",2,0.18,0.15,0.24,0.44,2.49,80.804,103.672,-9999
"29-Loamy-Transient-3",29,"Loamy","Transient",3,0.15,0.14,0.29,0.43,2.5,72.821,146.028,-9999
"29-Sandy-Transient-1",29,"Sandy","Transient",1,0.05,0.28,0.66,0.02,0.88,65.376,99.487,-9999
"29-Sandy-Transient-2",29,"Sandy","Transient",2,0.05,0.37,0.56,0.02,0.79,70.924,85.849,-9999
"29-Sandy-Transient-3",29,"Sandy","Transient",3,0.04,0.28,0.65,0.04,0.97,60.579,89.854,-9999
"33-Clayey-Steady-1",33,"Clayey","Steady",1,0.08,0.01,0.4,0.51,2.99,64.402,85.575,11.13
"33-Clayey-Steady-2",33,"Clayey","Steady",2,0.07,0.02,0.4,0.51,3.02,68.782,90.595,10.72
"33-Clayey-Steady-3",33,"Clayey","Steady",3,0.08,0.01,0.39,0.52,3.04,64.046,113.048,12.35
"33-Clayey-Transient-1",33,"Clayey","Transient",1,0.12,0.17,0.23,0.48,2.71,32.806,47.274,11.5
"33-Clayey-Transient-2",33,"Clayey","Transient",2,0.14,0.19,0.22,0.45,2.53,36.643,44.531,10.63
"33-Clayey-Transient-3",33,"Clayey","Transient",3,0.13,0.18,0.21,0.48,2.64,47.346,39.626,9.66
"33-Loamy-Steady-1",33,"Loamy","Steady",1,0.07,0.03,0.36,0.55,3.14,71.302,98.448,13.73
"33-Loamy-Steady-2",33,"Loamy","Steady",2,0.07,0.03,0.31,0.58,3.26,69.008,118.095,18.58
"33-Loamy-Steady-3",33,"Loamy","Steady",3,0.08,0.05,0.32,0.55,3.14,80.168,75.166,8.97
"33-Loamy-Transient-1",33,"Loamy","Transient",1,0.25,0.06,0.22,0.48,2.64,56.295,67.818,14.78
"33-Loamy-Transient-2",33,"Loamy","Transient",2,0.25,0.06,0.22,0.47,2.61,58.082,54.928,9.6
"33-Loamy-Transient-3",33,"Loamy","Transient",3,0.25,0.06,0.22,0.47,2.6,57.445,60.22,15.53
"33-Sandy-Steady-1",33,"Sandy","Steady",1,0.11,0.23,0.65,0.02,0.86,60.353,87.18,4.89
"33-Sandy-Steady-2",33,"Sandy","Steady",2,0.09,0.23,0.66,0.03,0.91,57.141,103.099,4.26
"33-Sandy-Steady-3",33,"Sandy","Steady",3,0.09,0.22,0.66,0.03,0.93,68.911,69.286,7.1
"33-Sandy-Transient-1",33,"Sandy","Transient",1,0.05,0.3,0.65,0,0.77,47.811,56.949,4.46
"33-Sandy-Transient-2",33,"Sandy","Transient",2,0.05,0.28,0.65,0.01,0.85,31.423,56.911,6.17
"33-Sandy-Transient-3",33,"Sandy","Transient",3,0.07,0.33,0.59,0.01,0.78,33.033,50.336,5.52
"56-Clayey-Transient-1",56,"Clayey","Transient",1,0.21,0.23,0.35,0.23,1.55,49.677,88.728,-9999
"56-Clayey-Transient-2",56,"Clayey","Transient",2,0.21,0.23,0.29,0.28,1.74,52.917,82.534,-9999
"56-Clayey-Transient-3",56,"Clayey","Transient",3,0.22,0.19,0.34,0.26,1.72,57.313,69.574,-9999
"56-Loamy-Transient-1",56,"Loamy","Transient",1,0.39,0.17,0.26,0.19,1.28,80.156,97.917,-9999
"56-Loamy-Transient-2",56,"Loamy","Transient",2,0.44,0.13,0.21,0.23,1.42,97.674,83.789,-9999
"56-Loamy-Transient-3",56,"Loamy","Transient",3,0.44,0.15,0.18,0.24,1.41,79.774,98.337,-9999
"56-Sandy-Transient-1",56,"Sandy","Transient",1,0.09,0.34,0.57,0.01,0.74,52.863,83.31,-9999
"56-Sandy-Transient-2",56,"Sandy","Transient",2,0.09,0.32,0.59,0.01,0.76,58.564,80.734,-9999
"56-Sandy-Transient-3",56,"Sandy","Transient",3,0.08,0.27,0.65,0.01,0.8,57.018,79.141,-9999
